Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
I1L;I2L;10;chemical;Acetylcholine;
I1L;I3;3;chemical;Acetylcholine;
I1L;I6;1;chemical;Acetylcholine;
I1L;M2L;3;chemical;Acetylcholine;
I1L;M3L;8;chemical;Acetylcholine;
I1L;M3R;2;chemical;Acetylcholine;
I1L;MCL;2;chemical;Acetylcholine;
I1L;MCR;2;chemical;Acetylcholine;
I1L;NSML;3;chemical;Acetylcholine;
I1R;I2R;6;chemical;Acetylcholine;
I1R;I3;1;chemical;Acetylcholine;
I1R;M1;1;chemical;Acetylcholine;
I1R;M2L;1;chemical;Acetylcholine;
I1R;M2R;3;chemical;Acetylcholine;
I1R;M3L;1;chemical;Acetylcholine;
I1R;M3R;6;chemical;Acetylcholine;
I1R;MCL;3;chemical;Acetylcholine;
I1R;MCR;4;chemical;Acetylcholine;
I1R;NSML;1;chemical;Acetylcholine;
I1R;NSMR;2;chemical;Acetylcholine;
I2L;I1L;2;chemical;Glutamate;GLR-7, GLR-8
I2L;I2R;3;chemical;Glutamate;GLR-7, GLR-8
I2L;I4;13;chemical;Glutamate;
I2L;M1;1;chemical;Glutamate;AVR-14, GLR-2
I2L;NSML;14;chemical;Glutamate;GLR-7, GLR-8
I2L;NSMR;24;chemical;Glutamate;GLR-7, GLR-8
I5;I1L;2;chemical;Glutamate, Serotonin;GLR-7, GLR-8
I5;I2L;3;chemical;Glutamate, Serotonin;GLR-7, GLR-8, SER-7
I5;I2R;1;chemical;Glutamate, Serotonin;GLR-7, GLR-8, SER-7
I5;I3;1;chemical;Glutamate, Serotonin;GLR-7, GLR-8, SER-7
I5;I4;7;chemical;Glutamate, Serotonin;SER-7
I5;M1;3;chemical;Glutamate, Serotonin;AVR-14, GLR-2, SER-4
I5;M2L;4;chemical;Glutamate, Serotonin;SER-7
I5;M3L;4;chemical;Glutamate, Serotonin;GLR-8, SER-7
I5;M3R;2;chemical;Glutamate, Serotonin;GLR-8, SER-7
I5;M4;19;chemical;Glutamate, Serotonin;GLR-8, SER7b, SER-7
I5;NSML;1;chemical;Glutamate, Serotonin;GLR-7, GLR-8, SER-2, SER-4
I5;NSMR;5;chemical;Glutamate, Serotonin;GLR-7, GLR-8, SER-2, SER-4
I6;I1R;1;chemical;Acetylcholine;
I6;I2L;1;chemical;Acetylcholine;
I6;I2R;4;chemical;Acetylcholine;
I6;I3;12;chemical;Acetylcholine;
I6;M3L;10;chemical;Acetylcholine;
I6;M4;15;chemical;Acetylcholine;
I6;NSML;24;chemical;Acetylcholine;
I6;NSMR;23;chemical;Acetylcholine;
M1;I2L;3;chemical;Acetylcholine;
M1;I2R;2;chemical;Acetylcholine;
M1;I3;8;chemical;Acetylcholine;
M1;I4;1;chemical;Acetylcholine;
M1;NSML;2;chemical;Acetylcholine;
M2L;I3;2;chemical;Acetylcholine;
M2L;I4;8;chemical;Acetylcholine;
M2L;M3L;3;chemical;Acetylcholine;
M2L;M3R;1;chemical;Acetylcholine;
M2R;I4;1;chemical;Acetylcholine;
M2R;M3L;2;chemical;Acetylcholine;
M2R;M3R;1;chemical;Acetylcholine;
M2R;NSMR;1;chemical;Acetylcholine;
M3L;NSML;1;chemical;Glutamate;GLR-7, GLR-8
M3R;M4;2;chemical;Glutamate;GLR-8
M4;I4;5;chemical;Acetylcholine;
M4;M2L;1;chemical;Acetylcholine;
M4;M3L;1;chemical;Acetylcholine;
M4;M4;15;chemical;Acetylcholine;
M4;MCL;1;chemical;Acetylcholine;
MI;I1L;1;chemical;Glutamate;GLR-7, GLR-8
MI;I3;2;chemical;Glutamate;GLR-7, GLR-8
MI;I4;1;chemical;Glutamate;
MI;M1;7;chemical;Glutamate;AVR-14, GLR-2
MI;M2L;3;chemical;Glutamate;
MI;M2R;2;chemical;Glutamate;
MI;M3L;2;chemical;Glutamate;GLR-8
MI;MCL;3;chemical;Glutamate;GLR-8
MI;NSML;1;chemical;Glutamate;GLR-7, GLR-8
MI;NSMR;2;chemical;Glutamate;GLR-7, GLR-8
NSML;I4;1;chemical;Serotonin;SER-7
NSML;M3L;21;chemical;Serotonin;SER-7
NSML;M3R;1;chemical;Serotonin;SER-7
NSML;M4;13;chemical;Serotonin;SER7b, SER-7
NSML;NSMR;7;chemical;Serotonin;SER-2, SER-4
NSMR;I2L;1;chemical;Serotonin;SER-7
NSMR;I2R;1;chemical;Serotonin;SER-7
NSMR;I4;3;chemical;Serotonin;SER-7
NSMR;I6;4;chemical;Serotonin;SER-7
NSMR;M3R;24;chemical;Serotonin;SER-7
ADFL;ADLL;1;chemical;Serotonin;SER-6
ADFL;AWBL;2;chemical;Serotonin;SER-5, SER-6
ADFL;AWCR;2;chemical;Serotonin;
ADFL;AFDL;1;chemical;Serotonin;
ADFL;URXL;1;chemical;Serotonin;
ADFL;AUAL;12;chemical;Serotonin;SER-2
ADFL;AIAL;2;chemical;Serotonin;MOD-1
ADFL;AIBL;2;chemical;Serotonin;MOD-1, SER-4
ADFL;AIBR;1;chemical;Serotonin;MOD-1, SER-1, SER-4
ADFL;AIZL;39;chemical;Serotonin;MOD-1, SER-2
