neuron,channel
ADEL,EGL-36
ADER,EGL-36
ADFL,KVS-1
ADFL,MGL-3
ADFL,OCR-2
ADFL,OSM-9
ADFR,KVS-1
ADFR,MGL-3
ADFR,OCR-2
ADFR,OSM-9
ADLL,KQT-3
ADLL,KVS-1
ADLL,OCR-2
ADLL,OSM-9
ADLR,KQT-3
ADLR,KVS-1
ADLR,OCR-2
ADLR,OSM-9
AFDL,CNG-3
AFDL,EGL-2
AFDL,TAX-2
AFDL,TAX-4
AFDR,CNG-3
AFDR,EGL-2
AFDR,TAX-2
AFDR,TAX-4
AIAL,GLR-2
AIAL,MGL-1
AIAR,GLR-2
AIAR,MGL-1
AIBL,GGR-1
AIBL,GLR-1
AIBL,GLR-2
AIBR,GGR-1
AIBR,GLR-1
AIBR,GLR-2
AIYL,GLC-3
AIYL,LGC-46
AIYL,MGL-1
AIYR,GLC-3
AIYR,LGC-46
AIYR,MGL-1
ALA,CLH-1
ALA,UNC-8
ALML,EGL-2
ALML,KQT-1
ALML,KQT-3
ALML,LGC-55
ALML,MEC-10
ALML,UNC-36
ALMR,EGL-2
ALMR,KQT-1
ALMR,KQT-3
ALMR,LGC-55
ALMR,MEC-10
ALMR,UNC-36
ALNL,EGL-2
ALNL,EGL-36
ALNL,LGC-55
ALNL,UNC-36
ALNR,EGL-2
ALNR,EGL-36
ALNR,LGC-55
ALNR,UNC-36
AQR,EGL-2
AQR,TAX-2
AS1,AVR-15
AS1,CCA-1
AS1,CED-11
AS1,CLH-3
AS1,DEL-1
AS1,EGL-2
AS1,EGL-36
AS1,FLR-1
AS1,GLR-1
AS1,GLR-2
AS1,KQT-1
AS1,KQT-3
AS1,LGC-46
AS1,MEC-10
AS1,MGL-1
AS1,MOD-1
AS1,OCR-2
AS1,SHK-1
AS1,SLO-1
AS1,TAG-180
AS1,UNC-8
AS1,UNC-36
AS1,n/a
AS10,AVR-15
AS10,CCA-1
AS10,CED-11
AS10,CLH-3
AS10,DEL-1
AS10,EGL-2
AS10,EGL-36
AS10,FLR-1
AS10,GLR-1
AS10,GLR-2
AS10,KQT-1
AS10,KQT-3
AS10,LGC-46
AS10,MEC-10
AS10,MGL-1
AS10,MOD-1
AS10,OCR-2
AS10,SHK-1
AS10,SLO-1
AS10,TAG-180
AS10,UNC-8
AS10,UNC-36
AS10,n/a
AS11,AVR-15
AS11,CCA-1
AS11,CED-11
AS11,CLH-3
AS11,DEL-1
AS11,EGL-2
AS11,EGL-36
AS11,FLR-1
AS11,GLR-1
AS11,GLR-2
AS11,KQT-1
AS11,KQT-3
AS11,LGC-46
AS11,MEC-10
AS11,MGL-1
AS11,MOD-1
AS11,OCR-2
AS11,SHK-1
AS11,SLO-1
AS11,TAG-180
AS11,UNC-8
AS11,UNC-36
AS11,n/a
AS2,AVR-15
AS2,CCA-1
AS2,CED-11
AS2,CLH-3
AS2,DEL-1
AS2,EGL-2
AS2,EGL-36
AS2,FLR-1
AS2,GLR-1
AS2,GLR-2
AS2,KQT-1
AS2,KQT-3
AS2,LGC-46
AS2,MEC-10
AS2,MGL-1
AS2,MOD-1
AS2,OCR-2
AS2,SHK-1
AS2,SLO-1
AS2,TAG-180
AS2,UNC-8
AS2,UNC-36
AS2,n/a
AS3,AVR-15
AS3,CCA-1
AS3,CED-11
AS3,CLH-3
AS3,DEL-1
AS3,EGL-2
AS3,EGL-36
AS3,FLR-1
AS3,GLR-1
AS3,GLR-2
AS3,KQT-1
AS3,KQT-3
AS3,LGC-46
AS3,MEC-10
AS3,MGL-1
AS3,MOD-1
AS3,OCR-2
AS3,SHK-1
AS3,SLO-1
AS3,TAG-180
AS3,UNC-8
AS3,UNC-36
AS3,n/a
AS4,AVR-15
AS4,CCA-1
AS4,CED-11
AS4,CLH-3
AS4,DEL-1
AS4,EGL-2
AS4,EGL-36
AS4,FLR-1
AS4,GLR-1
AS4,GLR-2
AS4,KQT-1
AS4,KQT-3
AS4,LGC-46
AS4,MEC-10
AS4,MGL-1
AS4,MOD-1
AS4,OCR-2
AS4,SHK-1
AS4,SLO-1
AS4,TAG-180
AS4,UNC-8
AS4,UNC-36
AS4,n/a
AS5,AVR-15
AS5,CCA-1
AS5,CED-11
AS5,CLH-3
AS5,DEL-1
AS5,EGL-2
AS5,EGL-36
AS5,FLR-1
AS5,GLR-1
AS5,GLR-2
AS5,KQT-1
AS5,KQT-3
AS5,LGC-46
AS5,MEC-10
AS5,MGL-1
AS5,MOD-1
AS5,OCR-2
AS5,SHK-1
AS5,SLO-1
AS5,TAG-180
AS5,UNC-8
AS5,UNC-36
AS5,n/a
AS6,AVR-15
AS6,CCA-1
AS6,CED-11
AS6,CLH-3
AS6,DEL-1
AS6,EGL-2
AS6,EGL-36
AS6,FLR-1
AS6,GLR-1
AS6,GLR-2
AS6,KQT-1
AS6,KQT-3
AS6,LGC-46
AS6,MEC-10
AS6,MGL-1
AS6,MOD-1
AS6,OCR-2
AS6,SHK-1
AS6,SLO-1
AS6,TAG-180
AS6,UNC-8
AS6,UNC-36
AS6,n/a
AS7,AVR-15
AS7,CCA-1
AS7,CED-11
AS7,CLH-3
AS7,DEL-1
AS7,EGL-2
AS7,EGL-36
AS7,FLR-1
AS7,GLR-1
AS7,GLR-2
AS7,KQT-1
AS7,KQT-3
AS7,LGC-46
AS7,MEC-10
AS7,MGL-1
AS7,MOD-1
AS7,OCR-2
AS7,SHK-1
AS7,SLO-1
AS7,TAG-180
AS7,UNC-8
AS7,UNC-36
AS7,n/a
AS8,AVR-15
AS8,CCA-1
AS8,CED-11
AS8,CLH-3
AS8,DEL-1
AS8,EGL-2
AS8,EGL-36
AS8,FLR-1
AS8,GLR-1
AS8,GLR-2
AS8,KQT-1
AS8,KQT-3
AS8,LGC-46
AS8,MEC-10
AS8,MGL-1
AS8,MOD-1
AS8,OCR-2
AS8,SHK-1
AS8,SLO-1
AS8,TAG-180
AS8,UNC-8
AS8,UNC-36
AS8,n/a
AS9,AVR-15
AS9,CCA-1
AS9,CED-11
AS9,CLH-3
AS9,DEL-1
AS9,EGL-2
AS9,EGL-36
AS9,FLR-1
AS9,GLR-1
AS9,GLR-2
AS9,KQT-1
AS9,KQT-3
AS9,LGC-46
AS9,MEC-10
AS9,MGL-1
AS9,MOD-1
AS9,OCR-2
AS9,SHK-1
AS9,SLO-1
AS9,TAG-180
AS9,UNC-8
AS9,UNC-36
AS9,n/a
ASEL,DEL-4
ASEL,EGL-2
ASEL,KVS-1
ASEL,MGL-3
ASEL,OSM-9
ASEL,SLO-2
ASEL,TAX-2
ASEL,TAX-4
ASEL,UNC-36
ASER,DEL-4
ASER,EGL-2
ASER,KVS-1
ASER,MGL-3
ASER,OSM-9
ASER,SLO-2
ASER,TAX-2
ASER,TAX-4
ASER,TRP-2
ASER,UNC-36
ASGL,KVS-1
ASGL,OSM-9
ASGL,TAX-2
ASGL,TAX-4
ASGR,KVS-1
ASGR,OSM-9
ASGR,TAX-2
ASGR,TAX-4
ASHL,DEG-1
ASHL,KQT-3
ASHL,KVS-1
ASHL,OCR-2
ASHL,OSM-9
ASHL,UNC-8
ASHR,DEG-1
ASHR,KQT-3
ASHR,KVS-1
ASHR,OCR-2
ASHR,OSM-9
ASHR,UNC-8
ASIL,CNG-3
ASIL,KQT-3
ASIL,OSM-9
ASIL,TAX-2
ASIL,TAX-4
ASIL,TRP-1
ASIR,CNG-3
ASIR,KQT-3
ASIR,OSM-9
ASIR,TAX-2
ASIR,TAX-4
ASJL,OSM-9
ASJL,TAX-2
ASJL,TAX-4
ASJR,OSM-9
ASJR,TAX-2
ASJR,TAX-4
ASKL,KVS-1
ASKL,OSM-9
ASKL,TAX-2
ASKL,TAX-4
ASKL,UNC-36
ASKR,KVS-1
ASKR,OSM-9
ASKR,TAX-2
ASKR,TAX-4
ASKR,UNC-36
AVAL,GLR-1
AVAL,GLR-2
AVAL,NMR-1
AVAL,UNC-8
AVAL,UNC-36
AVAR,GLR-1
AVAR,GLR-2
AVAR,NMR-1
AVAR,UNC-8
AVAR,UNC-36
AVBL,GLR-1
AVBL,LGC-55
AVBL,UNC-8
AVBR,GLR-1
AVBR,LGC-55
AVBR,UNC-8
AVDL,DEG-1
AVDL,GLR-1
AVDL,GLR-2
AVDL,NMR-1
AVDL,UNC-8
AVDR,DEG-1
AVDR,GLR-1
AVDR,GLR-2
AVDR,NMR-1
AVDR,UNC-8
AVEL,GLR-1
AVEL,GLR-2
AVEL,NMR-1
AVER,GLR-1
AVER,GLR-2
AVER,NMR-1
AVER,n/a
AVG,DEG-1
AVG,GLR-1
AVG,GLR-2
AVG,NMR-1
AVHL,GGR-1
AVHR,GGR-1
AVJL,GLR-1
AVJR,GLR-1
AVL,EGL-36
AVL,SUP-9
AVM,LGC-55
AVM,MEC-10
AVM,UNC-36
AWAL,OCR-2
AWAL,OSM-9
AWAR,OCR-2
AWAR,OSM-9
AWBL,CNG-3
AWBL,KQT-3
AWBL,TAX-2
AWBR,CNG-3
AWBR,KQT-3
AWBR,TAX-2
AWCL,CNG-3
AWCL,EGL-2
AWCL,KVS-1
AWCL,MGL-3
AWCL,OSM-9
AWCL,TAX-2
AWCL,TAX-4
AWCR,CNG-3
AWCR,EGL-2
AWCR,KVS-1
AWCR,MGL-3
AWCR,OSM-9
AWCR,TAX-2
AWCR,TAX-4
BAGL,EGL-2
BAGL,MGL-3
BAGL,TAX-2
BAGL,TAX-4
BAGL,TRP-1
BAGR,EGL-2
