neuron,neuropeptide
ADAL,FLP-8
ADAL,PDF-1
ADAR,FLP-8
ADAR,PDF-1
ADEL,PDF-1
ADER,PDF-1
ADFL,FLP-6
ADFL,FLP-21
ADFL,INS-1
ADFL,NLP-3
ADFR,FLP-6
ADFR,FLP-21
ADFR,INS-1
ADFR,NLP-3
ADLL,FLP-4
ADLL,FLP-21
ADLL,NLP-7
ADLL,NLP-8
ADLL,NLP-10
ADLR,FLP-4
ADLR,FLP-21
ADLR,NLP-7
ADLR,NLP-8
ADLR,NLP-10
AFDL,FLP-6
AFDL,NLP-7
AFDL,NLP-21
AFDL,NTC-1
AFDL,PDF-1
AFDR,FLP-6
AFDR,NLP-7
AFDR,NLP-21
AFDR,NTC-1
AFDR,PDF-1
AIAL,FLP-1
AIAL,FLP-2
AIAL,INS-1
AIAR,FLP-1
AIAR,FLP-2
AIAR,INS-1
AIBL,FLP-20
AIBR,FLP-20
AIML,FLP-10
AIML,FLP-22
AIML,INS-1
AIML,PDF-1
AIML,PDF-6
AIMR,FLP-10
AIMR,FLP-22
AIMR,INS-1
AIMR,PDF-1
AIMR,PDF-6
AINL,FLP-19
AINR,FLP-19
AIYL,FLP-1
AIYL,FLP-18
AIYR,FLP-1
AIYR,FLP-18
AIZL,FLP-22
AIZL,NTC-1
AIZR,FLP-22
AIZR,NTC-1
ALA,FLP-7
ALA,FLP-13
ALML,FLP-20
ALMR,FLP-20
AQR,PDF-4
AS1,NLP-21
AS10,NLP-21
AS11,NLP-21
AS2,NLP-21
AS3,NLP-21
AS4,NLP-21
AS5,NLP-21
AS6,NLP-21
AS7,NLP-21
AS8,NLP-21
AS9,NLP-21
ASEL,FLP-4
ASEL,FLP-5
ASEL,FLP-6
ASEL,FLP-13
ASEL,FLP-20
ASEL,FLP-21
ASEL,FLP-25
ASEL,INS-1
ASEL,INS-22
ASEL,INS-26
ASEL,INS-32
ASEL,NLP-3
ASEL,NLP-5
ASEL,NLP-7
ASEL,NLP-14
ASER,FLP-5
ASER,FLP-6
ASER,FLP-13
ASER,FLP-20
ASER,FLP-21
ASER,FLP-25
ASER,INS-1
ASER,INS-22
ASER,INS-26
ASER,NLP-3
ASER,NLP-5
ASER,NLP-7
ASER,NLP-14
ASGL,FLP-6
ASGL,FLP-13
ASGL,FLP-21
ASGL,FLP-22
ASGL,INS-1
ASGL,NTC-1
ASGR,FLP-6
ASGR,FLP-13
ASGR,FLP-21
ASGR,FLP-22
ASGR,INS-1
ASGR,NTC-1
ASHL,FLP-21
ASHL,INS-1
ASHL,NLP-3
ASHL,NLP-15
ASHR,FLP-21
ASHR,INS-1
ASHR,NLP-3
ASHR,NLP-15
ASIL,DAF-28
ASIL,FLP-2
ASIL,FLP-10
ASIL,FLP-21
ASIL,INS-1
ASIL,INS-3
