neuron,neurotransmitter
ADAL,Glutamate
ADAR,Glutamate
ADEL,Dopamine
ADER,Dopamine
ADFL,Serotonin
ADFR,Serotonin
AFDL,Glutamate
AFDR,Glutamate
AIAL,Acetylcholine
AIAR,Acetylcholine
AIBL,Glutamate
AIML,Glutamate
AIML,Serotonin
AIMR,Glutamate
AIMR,Serotonin
AINL,Acetylcholine
AINR,Acetylcholine
AIYL,Acetylcholine
AIYR,Acetylcholine
AIZL,Glutamate
AIZR,Glutamate
ALML,Glutamate
ALMR,Glutamate
ALNL,Acetylcholine
ALNR,Acetylcholine
AQR,Glutamate
AS1,Acetylcholine
AS10,Acetylcholine
AS11,Acetylcholine
AS2,Acetylcholine
AS3,Acetylcholine
AS4,Acetylcholine
AS5,Acetylcholine
AS6,Acetylcholine
AS7,Acetylcholine
AS8,Acetylcholine
AS9,Acetylcholine
ASEL,Glutamate
ASER,Glutamate
ASGL,Glutamate
ASGL,Serotonin
ASGR,Glutamate
ASGR,Serotonin
ASHL,Glutamate
ASHR,Glutamate
ASKL,Glutamate
ASKR,Glutamate
AUAL,Glutamate
AUAR,Glutamate
AVL,GABA
AVM,Glutamate
AWCL,Glutamate
AWCR,Glutamate
BAGL,Glutamate
BAGR,Glutamate
CEPDL,Dopamine
CEPDR,Dopamine
CEPVL,Dopamine
CEPVR,Dopamine
DA1,Acetylcholine
DA2,Acetylcholine
DA3,Acetylcholine
DA4,Acetylcholine
DA5,Acetylcholine
DA6,Acetylcholine
DA7,Acetylcholine
DA8,Acetylcholine
DA9,Acetylcholine
DB1,Acetylcholine
DB2,Acetylcholine
DB3,Acetylcholine
DB4,Acetylcholine
DB5,Acetylcholine
DB6,Acetylcholine
DB7,Acetylcholine
DD1,GABA
DD2,GABA
DD3,GABA
DD4,GABA
DD5,GABA
DD6,GABA
DVA,Acetylcholine
DVB,GABA
DVC,Glutamate
FLPL,Glutamate
FLPR,Glutamate
HSNL,Serotonin
HSNR,Serotonin
I1L,Acetylcholine
I1R,Acetylcholine
I2L,Glutamate
I5,Glutamate
I5,Serotonin
I6,Acetylcholine
IL1DL,Glutamate
