neuron,receptor
ADEL,ACR-16
ADEL,DOP-2
ADEL,EXP-1
ADEL,OCTR-1
ADEL,TRP-4
ADEL,TYRA-3
ADER,ACR-16
ADER,DOP-2
ADER,EXP-1
ADER,OCTR-1
ADER,TRP-4
ADER,TYRA-3
ADFL,MGL-3
ADFL,NPR-2
ADFL,NPR-5
ADFL,NTR-1
ADFL,NTR-2
ADFL,OCR-2
ADFL,OSM-9
ADFL,SRB-6
ADFL,SRD-1
ADFL,TMC-1
ADFR,MGL-3
ADFR,NPR-2
ADFR,NPR-5
ADFR,NTR-1
ADFR,NTR-2
ADFR,OCR-2
ADFR,OSM-9
ADFR,SRB-6
ADFR,SRD-1
ADFR,TMC-1
ADLL,GCY-21
ADLL,NTR-1
ADLL,NTR-2
ADLL,OCR-1
ADLL,OCR-2
ADLL,OSM-9
ADLL,SER-6
ADLL,SRB-6
ADLL,SRE-1
ADLL,SRH-132
ADLL,SRH-220
ADLL,SRI-51
ADLL,SRO-1
ADLL,TMC-1
ADLL,TYRA-3
ADLR,GCY-21
ADLR,NTR-1
ADLR,NTR-2
ADLR,OCR-1
ADLR,OCR-2
ADLR,OSM-9
ADLR,SER-6
ADLR,SRB-6
ADLR,SRE-1
ADLR,SRH-132
ADLR,SRH-220
ADLR,SRI-51
ADLR,SRO-1
ADLR,TMC-1
ADLR,TYRA-3
AFDL,GCY-8
AFDL,GCY-18
AFDL,GCY-23
AFDL,GCY-29
AFDL,TMC-1
AFDL,TYRA-3
AFDR,GCY-8
AFDR,GCY-18
AFDR,GCY-23
AFDR,GCY-29
AFDR,TMC-1
AFDR,TYRA-3
AIAL,GCY-28
AIAL,GLC-3
AIAL,GLR-2
AIAL,MGL-1
AIAL,MOD-1
AIAL,NPR-5
AIAL,NPR-11
AIAL,NTR-2
AIAL,SCD-2
AIAL,SRA-11
AIAR,GCY-28
AIAR,GLC-3
AIAR,GLR-2
AIAR,MGL-1
AIAR,MOD-1
AIAR,NPR-5
AIAR,NPR-11
AIAR,NTR-2
AIAR,SCD-2
AIAR,SRA-11
AIBL,GGR-1
AIBL,GLR-1
AIBL,GLR-2
AIBL,GLR-5
AIBL,MGL-2
AIBL,MOD-1
AIBL,SER-4
AIBR,GGR-1
AIBR,GLR-1
AIBR,GLR-2
AIBR,GLR-5
AIBR,MGL-2
AIBR,MOD-1
AIBR,SER-1
AIBR,SER-4
AIML,GCY-18
AIML,LGC-53
AIML,TYRA-3
AIMR,GCY-18
AIMR,LGC-53
AIMR,TYRA-3
AIYL,ACR-14
AIYL,C50F7.1
AIYL,CKR-2
AIYL,GAR-2
AIYL,GCY-1
AIYL,GLC-3
AIYL,LGC-38
AIYL,MGL-1
AIYL,MOD-1
AIYL,NPR-11
AIYL,NPR-14
AIYL,OCTR-1
AIYL,SER-2
AIYL,SRA-11
AIYR,ACR-14
AIYR,C50F7.1
AIYR,CKR-2
AIYR,GAR-2
AIYR,GCY-1
AIYR,GLC-3
AIYR,LGC-38
AIYR,MGL-1
AIYR,MOD-1
AIYR,NPR-11
AIYR,NPR-14
AIYR,OCTR-1
AIYR,SER-2
AIYR,SRA-11
AIZL,MOD-1
AIZL,NPR-2
AIZL,SER-2
AIZR,MOD-1
AIZR,NPR-2
AIZR,SER-2
ALA,ACR-4
ALA,ACR-13
ALA,SRA-10
ALML,ASIC-1
ALML,DEG-3
ALML,DEGT-1
ALML,DEL-1
ALML,DES-2
ALML,DOP-1
ALML,GAB-1
ALML,GLR-8
ALML,LGC-37
ALML,LGC-55
ALML,MEC-2
ALML,MEC-4
ALML,MEC-6
ALML,MEC-9
ALML,MEC-10
ALML,PDFR-1
ALML,STR-33
ALML,TYRA-2
ALMR,ASIC-1
ALMR,DEG-3
ALMR,DEGT-1
ALMR,DEL-1
ALMR,DES-2
ALMR,DOP-1
ALMR,GAB-1
ALMR,GLR-8
ALMR,LGC-37
ALMR,LGC-55
ALMR,MEC-2
ALMR,MEC-4
ALMR,MEC-6
ALMR,MEC-9
ALMR,MEC-10
ALMR,PDFR-1
ALMR,STR-33
ALMR,TYRA-2
ALNL,DOP-1
ALNL,LGC-55
ALNL,SER-2
ALNR,DOP-1
ALNR,LGC-55
ALNR,SER-2
AQR,GCY-25
AQR,GCY-32
AQR,GCY-34
AQR,GCY-35
AQR,GCY-36
AQR,GCY-37
AQR,NLP-37
AQR,NPR-1
AS1,ACR-14
AS1,ACR-15
AS1,CKR-2
AS1,DOP-1
AS1,DOP-3
AS1,LGC-46
AS1,NPR-3
AS1,UNC-63
AS10,ACR-14
AS10,ACR-15
AS10,CKR-2
AS10,DOP-1
AS10,DOP-3
AS10,LGC-46
AS10,NPR-3
AS10,UNC-63
AS11,ACR-14
AS11,ACR-15
AS11,CKR-2
AS11,DOP-1
AS11,DOP-3
AS11,LGC-46
AS11,NPR-3
AS11,UNC-63
AS2,ACR-14
AS2,ACR-15
AS2,CKR-2
AS2,DOP-1
AS2,DOP-3
AS2,LGC-46
AS2,NPR-3
AS2,UNC-63
AS3,ACR-14
AS3,ACR-15
AS3,CKR-2
AS3,DOP-1
AS3,DOP-3
AS3,LGC-46
AS3,NPR-3
AS3,UNC-63
AS4,ACR-14
AS4,ACR-15
AS4,CKR-2
AS4,DOP-1
AS4,DOP-3
AS4,LGC-46
AS4,NPR-3
AS4,UNC-63
AS5,ACR-14
AS5,ACR-15
AS5,CKR-2
AS5,DOP-1
AS5,DOP-3
AS5,LGC-46
AS5,NPR-3
AS5,UNC-63
AS6,ACR-14
AS6,ACR-15
AS6,CKR-2
AS6,DOP-1
AS6,DOP-3
AS6,LGC-46
AS6,NPR-3
AS6,UNC-63
AS7,ACR-14
AS7,ACR-15
AS7,CKR-2
AS7,DOP-1
AS7,DOP-3
AS7,LGC-46
AS7,NPR-3
AS7,UNC-63
AS8,ACR-14
AS8,ACR-15
AS8,CKR-2
AS8,DOP-1
AS8,DOP-3
AS8,LGC-46
AS8,NPR-3
AS8,UNC-63
AS9,ACR-14
AS9,ACR-15
AS9,CKR-2
AS9,DOP-1
AS9,DOP-3
AS9,LGC-46
AS9,NPR-3
AS9,UNC-63
ASEL,DEL-3
ASEL,DEL-4
ASEL,DOP-3
ASEL,DOP-5
ASEL,GCY-6
ASEL,GCY-7
ASEL,GCY-14
ASEL,GCY-19
ASEL,GCY-20
ASEL,GCY-29
ASEL,MGL-3
ASEL,NPR-1
ASEL,NPR-5
ASEL,NPR-15
ASEL,NTR-1
ASEL,OSM-9
ASEL,SRAB-14
ASEL,SRD-33
ASEL,SRG-30
ASEL,SRX-76
ASEL,TMC-1
ASEL,TRPA-2
ASEL,TYRA-2
ASER,DAF-2
ASER,DEL-3
ASER,DEL-4
ASER,DOP-3
ASER,DOP-5
ASER,GCY-1
ASER,GCY-3
ASER,GCY-4
ASER,GCY-5
ASER,GCY-19
ASER,GCY-22
ASER,GCY-29
ASER,MGL-3
ASER,NPR-1
ASER,NPR-5
ASER,NPR-15
ASER,NTR-1
ASER,OSM-9
ASER,SRAB-14
ASER,SRD-33
ASER,SRG-30
ASER,SRX-76
ASER,TMC-1
ASER,TRP-2
ASER,TRPA-2
ASER,TYRA-2
ASGL,DOP-4
ASGL,GCY-15
ASGL,GCY-21
ASGL,NPR-1
ASGL,NPR-5
ASGL,NPR-15
ASGL,OSM-9
