receptor,transmitter
ACR-4,Acetylcholine
ACR-13,Acetylcholine
ACR-14,Acetylcholine
ACR-15,Acetylcholine
ACR-16,Acetylcholine
AVR-14,Glutamate
AVR-15,Glutamate
DOP-1,Dopamine
DOP-2,Dopamine
DOP-3,Dopamine
DOP-4,Dopamine
DOP-5,Dopamine
EXP-1,GABA
GAB-1,GABA
GAR-1,Acetylcholine
GAR-2,Acetylcholine
GLC-3,Glutamate
GLR-1,Glutamate
GLR-2,Glutamate
GLR-4,Glutamate
GLR-5,Glutamate
GLR-7,Glutamate
GLR-8,Glutamate
MGL-1,Glutamate
MGL-2,Glutamate
MGL-3,Glutamate
MOD-1,Serotonin
NMR-1,Glutamate
NMR-2,Glutamate
OCTR-1,Octopamine
SER7b,Serotonin
SER-1,Serotonin
SER-2,Serotonin
SER-3,Serotonin
SER-4,Serotonin
SER-5,Serotonin
SER-6,Serotonin
SER-7,Serotonin
TYRA-2,Tyramine
TYRA-3,Tyramine
UNC-63,Acetylcholine
