Category,Receptor,Family/Subfamily,Primary Trigger,Action/Role
"Ion Channels (DEG/ENaC)",DEG-3,DEG/ENaC,"Mechanical/modulatory signals","Synaptic modulation; influences neuronal excitability"
"Ion Channels (DEG/ENaC)",UNC-8,DEG/ENaC,"Mechanical force","Mediates mechanosensory signaling"
"Ion Channels (DEG/ENaC)",MEC-4,DEG/ENaC,"Direct mechanical (touch)","Key component in gentle-touch mechanotransduction"
"Ion Channels (DEG/ENaC)",MEC-6,"DEG/ENaC (Accessory)","Mechanical force (via MEC-4 complex)","Modulates MEC-4 channel activity"
"Ion Channels (DEG/ENaC)",DEGT-1,DEG/ENaC,"Likely mechanical force","Contributes to mechanosensory responses"
"Ion Channels (DEG/ENaC)",DES-2,DEG/ENaC,"Mechanical/chemosensory signals","Partners with other DEG/ENaC subunits for sensory transduction"
"Ion Channels (DEG/ENaC)",MEC-9,DEG/ENaC,"Mechanical stimuli","Functions in mechanotransduction"
"Ion Channels (DEG/ENaC)",DEL-1,DEG/ENaC,"Predicted mechanical activation","Inferred sensory function"
"Ion Channels (DEG/ENaC)",DEL-3,DEG/ENaC,"Predicted mechanical activation","Inferred sensory function"
"Ion Channels (DEG/ENaC)",DEL-4,DEG/ENaC,"Predicted mechanical activation","Inferred sensory function"
"Ion Channels (DEG/ENaC)",ASIC-1,"Acid-sensing DEG/ENaC","Extracellular acidification (protons)","Senses pH changes; modulates neuronal responses"
"Ion Channels (Nicotinic AChR)",UNC-63,Nicotinic AChR,Acetylcholine,"Mediates fast excitatory neuromuscular transmission"
"Ion Channels (Nicotinic AChR)",ACR-15,Nicotinic AChR,Acetylcholine,"Contributes to cholinergic signaling"
"Ion Channels (Nicotinic AChR)",ACR-16,Nicotinic AChR,Acetylcholine,"Contributes to cholinergic signaling"
"Ion Channels (Nicotinic AChR)",ACR-13,Nicotinic AChR,Acetylcholine,"Contributes to cholinergic signaling"
"Ion Channels (Nicotinic AChR)",ACR-14,Nicotinic AChR,Acetylcholine,"Contributes to cholinergic signaling"
"Ion Channels (Nicotinic AChR)",ACR-4,Nicotinic AChR,Acetylcholine,"Contributes to cholinergic signaling"
"Ion Channels (Other Cys-loop)",LGC-46,"Ligand-gated Chloride Channel","Inhibitory transmitters (e.g., GABA, glycine)","Mediates inhibitory synaptic transmission"
"Ion Channels (Other Cys-loop)",LGC-37,"Ligand-gated Chloride Channel",Inhibitory transmitters,"Mediates inhibitory synaptic transmission"
"Ion Channels (Other Cys-loop)",LGC-53,"Ligand-gated Chloride Channel",Inhibitory transmitters,"Mediates inhibitory synaptic transmission"
"Ion Channels (Other Cys-loop)",LGC-38,"Ligand-gated Chloride Channel",Inhibitory transmitters,"Mediates inhibitory synaptic transmission"
"Ion Channels (Other Cys-loop)",LGC-55,"Ligand-gated Chloride Channel",Tyramine,"Inhibitory signaling linked to tyramine"
"Ion Channels (Other Cys-loop)",MOD-1,"Serotonin-gated Chloride Channel",Serotonin,"Inhibits neuronal activity; modulates locomotion"
"Ion Channels (Other Cys-loop)",GLC-3,"Glutamate-gated Chloride Channel",Glutamate,"Opens Cl⁻ channel to hyperpolarize cells (inhibition)"
"Ion Channels (Other Cys-loop)",AVR-14,"Avermectin-sensitive Cl⁻ Channel","GABA (+ avermectin sensitivity)","Mediates inhibitory neurotransmission"
"Ion Channels (Other Cys-loop)",AVR-15,"Avermectin-sensitive Cl⁻ Channel","GABA (+ avermectin sensitivity)","Mediates inhibitory neurotransmission"
"Ion Channels (Other Cys-loop)",EXP-1,"Atypical GABA Receptor",GABA,"Produces excitatory responses to GABA"
"Ion Channels (Other Cys-loop)",GAB-1,"GABA Receptor",GABA,"Canonical inhibitory signaling"
"Ion Channels (Glutamate Receptors)",GLR-1,"Ionotropic Glutamate Receptor",Glutamate,"Mediates fast excitatory neurotransmission"
"Ion Channels (Glutamate Receptors)",GLR-2,"Ionotropic Glutamate Receptor",Glutamate,"Mediates fast excitatory neurotransmission"
"Ion Channels (Glutamate Receptors)",GLR-4,"Ionotropic Glutamate Receptor",Glutamate,"Mediates fast excitatory neurotransmission"
"Ion Channels (Glutamate Receptors)",GLR-5,"Ionotropic Glutamate Receptor",Glutamate,"Mediates fast excitatory neurotransmission"
"Ion Channels (Glutamate Receptors)",GLR-7,"Ionotropic Glutamate Receptor",Glutamate,"Mediates fast excitatory neurotransmission"
"Ion Channels (Glutamate Receptors)",GLR-8,"Ionotropic Glutamate Receptor",Glutamate,"Mediates fast excitatory neurotransmission"
"Ion Channels (Glutamate Receptors)",NMR-1,"NMDA-like Receptor","Glutamate (+ glycine)","Involved in synaptic plasticity and excitatory signaling"
"Ion Channels (Glutamate Receptors)",NMR-2,"NMDA-like Receptor","Glutamate (+ glycine)","Involved in synaptic plasticity and excitatory signaling"
"TRP & Sensory Channels",TRPA-1,"TRPA Channel","Reactive chemicals, temperature, mechanical stress","Detects noxious stimuli and contributes to sensory responses"
"TRP & Sensory Channels",TRPA-2,"TRPA Channel","Reactive chemicals, temperature, mechanical stress","Detects noxious stimuli and contributes to sensory responses"
"TRP & Sensory Channels",TRP-2,"TRP Channel","Mechanical stimuli","Involved in mechanosensory signaling"
"TRP & Sensory Channels",TRP-4,"TRP Channel","Mechanical stimuli","Important for proprioception and mechanosensation"
"TRP & Sensory Channels",OCR-1,"TRPV-related Channel","Heat, osmotic stress, chemical signals","Participates in nociception and osmosensation"
"TRP & Sensory Channels",OCR-2,"TRPV-related Channel","Heat, osmotic stress, chemical signals","Participates in nociception and osmosensation"
"TRP & Sensory Channels",OCR-4,"TRPV-related Channel","Heat, osmotic stress, chemical signals","Participates in nociception and osmosensation"
"TRP & Sensory Channels",OSM-9,"TRPV Channel","Odorants, mechanical signals","Essential for olfaction, nociception, and multimodal sensing"
"TRP & Sensory Channels",TMC-1,"TMC Channel","Mechanical forces, salt changes (inferred)","Implicated in mechanosensation and salt taste"
"Guanylyl Cyclase Receptors",GCY-27,"GCY Family","Environmental chemical cues (orphan)","Produces cGMP; modulates sensory responses"
